contrast,dissimilarity,homogeneity,ASM,energy,correlation,filename,folder
0.3187442574514317,0.18867457738677887,0.9175605866336399,0.41883523299368625,0.6471642840674068,0.9384806948832621,kamera_440_480_lx_12_30_1_telur_ayam_petelur_1.png,1. Telur Ayam Petelur
0.31894975737485703,0.18605803315778494,0.9191039312752651,0.42347096473829104,0.6507358331606922,0.9385317849246165,kamera_440_480_lx_12_30_1_telur_ayam_petelur_2.png,1. Telur Ayam Petelur
0.31955687123039705,0.18797567642984736,0.9180386038374794,0.4148455393498504,0.6440741105785999,0.9382679621223078,kamera_440_480_lx_12_30_1_telur_ayam_petelur_3.png,1. Telur Ayam Petelur
0.31228031914256277,0.18094349390960632,0.921531834479916,0.4336006879712908,0.6584734828529094,0.9398691722761335,kamera_440_480_lx_12_30_1_telur_ayam_petelur_4.png,1. Telur Ayam Petelur
0.31872516154805997,0.18763906138397482,0.9181709915262992,0.4193132702942916,0.6475325845729528,0.9385075919228099,kamera_440_480_lx_12_30_1_telur_ayam_petelur_5.png,1. Telur Ayam Petelur
0.32411064491655145,0.1954301829087273,0.9140634346134967,0.4075375787400815,0.638374906939643,0.9372478924086131,kamera_440_480_lx_12_30_1_telur_ayam_petelur_6.png,1. Telur Ayam Petelur
0.3220987629559307,0.19227482606505542,0.9157411741171666,0.4133914136326981,0.6429441492370044,0.937742110666266,kamera_440_480_lx_12_30_1_telur_ayam_petelur_7.png,1. Telur Ayam Petelur
0.31991323719013925,0.18851715276586353,0.9177507854254096,0.42015927977968165,0.6481856784280037,0.938295551925667,kamera_440_480_lx_12_30_1_telur_ayam_petelur_8.png,1. Telur Ayam Petelur
0.3244206606216112,0.19520476597771189,0.9142256658930652,0.4068451406579512,0.6378317675146504,0.9371755225939324,kamera_440_480_lx_12_30_1_telur_ayam_petelur_9.png,1. Telur Ayam Petelur
0.3151324812799511,0.18392771911703573,0.9200339123037838,0.42930797622250966,0.6552050420629493,0.9392910224140758,kamera_440_480_lx_12_30_1_telur_ayam_petelur_10.png,1. Telur Ayam Petelur
0.3162622010759864,0.18597594503141412,0.9189173996035936,0.424693865224002,0.6516755749984741,0.9390166391081269,kamera_440_480_lx_12_30_1_telur_ayam_petelur_11.png,1. Telur Ayam Petelur
0.3181539033221756,0.18629785743641425,0.9188996767540126,0.4235192794761952,0.6507732496420834,0.9386375740103324,kamera_440_480_lx_12_30_1_telur_ayam_petelur_12.png,1. Telur Ayam Petelur
0.3221423423084942,0.18970936100899996,0.9172334593553804,0.4186067561388333,0.6469880016050902,0.9378422404646494,kamera_440_480_lx_12_30_1_telur_ayam_petelur_13.png,1. Telur Ayam Petelur
0.3167995611872835,0.18449788409026321,0.9198330650655998,0.42719126812543773,0.6535887614368073,0.9390289310558572,kamera_440_480_lx_12_30_1_telur_ayam_petelur_14.png,1. Telur Ayam Petelur
0.32013864628769445,0.1890776804665629,0.9174487182816512,0.4201519482754175,0.648180445702277,0.9382238189001052,kamera_440_480_lx_12_30_1_telur_ayam_petelur_15.png,1. Telur Ayam Petelur
0.33012592385915257,0.1994177423064574,0.9122485072261238,0.4003594697618647,0.632726722565383,0.936006628573521,kamera_440_480_lx_12_30_1_telur_ayam_petelur_16.png,1. Telur Ayam Petelur
0.3187339447054441,0.1886581094243545,0.9175598597103144,0.4204440628491674,0.6484055570220483,0.9384752593771258,kamera_440_480_lx_12_30_1_telur_ayam_petelur_17.png,1. Telur Ayam Petelur
0.32540469111156944,0.1931519101913491,0.9155043181466986,0.4108352914484615,0.6409532705415504,0.9371339943597836,kamera_440_480_lx_12_30_1_telur_ayam_petelur_18.png,1. Telur Ayam Petelur
0.32570068521008655,0.19536896637725656,0.9142352859073855,0.40991525571110116,0.6402351358523749,0.9370121712635658,kamera_440_480_lx_12_30_1_telur_ayam_petelur_19.png,1. Telur Ayam Petelur
0.3187393783151509,0.1865586774392681,0.9187974120086806,0.4222364937779164,0.6497868944423345,0.93859375939179,kamera_440_480_lx_12_30_1_telur_ayam_petelur_20.png,1. Telur Ayam Petelur
0.23298659210575282,0.0883177030761788,0.9689121639945261,0.5984371576902223,0.7735835955756402,0.9562303847012742,kamera_440_480_lx_12_30_1_telur_ayam_petelur_21.png,1. Telur Ayam Petelur
0.23312290740825956,0.08992380833006264,0.967988239121444,0.5953196027802333,0.7715660630333875,0.9561742910943543,kamera_440_480_lx_12_30_1_telur_ayam_petelur_22.png,1. Telur Ayam Petelur
0.23567804737232267,0.09218632639266401,0.9668781564506516,0.5914381757480595,0.7690466405298871,0.9557018614264341,kamera_440_480_lx_12_30_1_telur_ayam_petelur_23.png,1. Telur Ayam Petelur
0.23629566304621027,0.09029374162748526,0.9680326026284511,0.594496080211188,0.7710322727709418,0.9556191875221057,kamera_440_480_lx_12_30_1_telur_ayam_petelur_24.png,1. Telur Ayam Petelur
0.2352827284748753,0.09048388920722804,0.9678476713770118,0.5945270992373373,0.7710520200587778,0.9557711919865324,kamera_440_480_lx_12_30_1_telur_ayam_petelur_25.png,1. Telur Ayam Petelur
0.2361236053390653,0.09178413369839215,0.9671575632248932,0.592336994391821,0.7696306195924453,0.9556161975011888,kamera_440_480_lx_12_30_1_telur_ayam_petelur_26.png,1. Telur Ayam Petelur
0.2394320246763384,0.0957997986536071,0.96509722022954,0.585436455261247,0.7651344166623435,0.9549935748526311,kamera_440_480_lx_12_30_1_telur_ayam_petelur_27.png,1. Telur Ayam Petelur
